# ----------------------------------------
# highcharts.com
# Audience Overview
# 20130309-20130408
# ----------------------------------------

Day,Visits,Unique Visitors
9/3/13,5691,4346
10/3/13,5403,4112
11/3/13,15574,11356
12/3/13,16211,11876
13/3/13,16427,11966
14/3/13,16486,12086
15/3/13,14737,10916
16/3/13,5838,4507
17/3/13,5542,4202
18/3/13,15560,11523
19/3/13,18940,14431
20/3/13,16970,12599
21/3/13,17580,13094
22/3/13,17511,13234
23/3/13,6601,5213
24/3/13,6158,4806
25/3/13,17353,12639
26/3/13,17660,12768
27/3/13,16921,12389
28/3/13,15964,11686
29/3/13,12028,8891
30/3/13,5835,4513
31/3/13,4799,3661
1/4/13,13037,9503
2/4/13,16976,12666
3/4/13,17100,12635
4/4/13,15701,11394
5/4/13,14378,10530
6/4/13,5889,4521
7/4/13,6779,5109
8/4/13,16068,11599

