temperatureEau,temperature,humidity,date
22,23,58,2013-11-02 00:47:00
22,23,58,2013-11-02 00:49:39
22,23,57,2013-11-02 00:50:39
22,23,60,2013-11-02 00:51:40
21.9375,23,59,2013-11-02 00:52:41
21.9375,23,60,2013-11-02 00:53:42
21.875,23,58,2013-11-02 00:54:43
21.875,23,60,2013-11-02 00:55:44
21.875,23,58,2013-11-02 00:56:45
21.8125,23,59,2013-11-02 00:57:46
21.8125,23,58,2013-11-02 00:58:47
21.75,23,60,2013-11-02 00:59:48
21.75,23,60,2013-11-02 01:00:48
21.75,23,60,2013-11-02 01:01:49
21.75,23,59,2013-11-02 01:02:50
21.75,23,58,2013-11-02 01:03:51
21.6875,23,60,2013-11-02 01:04:52
21.6875,22,61,2013-11-02 01:05:53
21.6875,23,57,2013-11-02 01:06:54
21.6875,23,58,2013-11-02 01:07:55
21.6875,23,60,2013-11-02 01:08:56
21.6875,23,60,2013-11-02 01:09:56
21.625,22,63,2013-11-02 01:10:57
21.625,24,60,2013-11-02 01:11:58
21.625,22,61,2013-11-02 01:12:59
21.625,22,59,2013-11-02 01:14:00
21.625,22,59,2013-11-02 01:15:01
21.625,23,60,2013-11-02 01:16:02
21.625,22,60,2013-11-02 01:17:03
21.625,23,59,2013-11-02 01:18:04
21.625,23,60,2013-11-02 01:19:05
21.625,22,59,2013-11-02 01:20:05
21.625,22,59,2013-11-02 01:21:06
21.625,23,58,2013-11-02 01:22:07
21.625,22,59,2013-11-02 01:23:08
21.625,22,59,2013-11-02 01:24:09
21.625,22,59,2013-11-02 01:25:10
21.625,23,58,2013-11-02 01:26:11
21.625,22,59,2013-11-02 01:27:12
21.625,22,59,2013-11-02 01:28:13
21.625,22,59,2013-11-02 01:29:13
21.5625,22,59,2013-11-02 01:30:14
21.625,22,59,2013-11-02 01:31:15
21.5625,23,58,2013-11-02 01:32:16
21.5625,22,59,2013-11-02 01:33:17
21.5625,22,59,2013-11-02 01:34:18
21.5625,22,59,2013-11-02 01:35:19
21.5625,22,59,2013-11-02 01:36:20
21.5625,22,59,2013-11-02 01:37:21
21.5625,22,59,2013-11-02 01:38:22
21.5625,22,59,2013-11-02 01:39:22
21.5625,22,59,2013-11-02 01:40:23
21.5625,22,59,2013-11-02 01:41:24
21.5625,22,60,2013-11-02 01:42:25
21.5625,22,59,2013-11-02 01:43:26
21.5625,22,59,2013-11-02 01:44:27
21.5625,22,59,2013-11-02 01:45:28
21.5,22,59,2013-11-02 01:46:29
21.5625,22,59,2013-11-02 01:47:30
21.5625,22,59,2013-11-02 01:48:30
21.5625,22,59,2013-11-02 01:49:31
21.5625,22,59,2013-11-02 01:50:32
21.5625,22,59,2013-11-02 01:51:33
21.5625,22,59,2013-11-02 01:52:34
21.5625,22,60,2013-11-02 01:53:35
21.5,22,59,2013-11-02 01:54:36
21.5625,22,60,2013-11-02 01:55:37
21.5625,22,59,2013-11-02 01:56:38
21.5625,22,59,2013-11-02 01:57:39
