temperatureEau;temperature;humidity;date
22;23;58;02/11/2013 00:47
22;23;58;02/11/2013 00:49
22;23;57;02/11/2013 00:50
22;23;60;02/11/2013 00:51
21.9375;23;59;02/11/2013 00:52
21.9375;23;60;02/11/2013 00:53
21.875;23;58;02/11/2013 00:54
21.875;23;60;02/11/2013 00:55
21.875;23;58;02/11/2013 00:56
21.8125;23;59;02/11/2013 00:57
21.8125;23;58;02/11/2013 00:58
21.75;23;60;02/11/2013 00:59
21.75;23;60;02/11/2013 01:00
21.75;23;60;02/11/2013 01:01
21.75;23;59;02/11/2013 01:02
21.75;23;58;02/11/2013 01:03
21.6875;23;60;02/11/2013 01:04
21.6875;22;61;02/11/2013 01:05
21.6875;23;57;02/11/2013 01:06
21.6875;23;58;02/11/2013 01:07
21.6875;23;60;02/11/2013 01:08
21.6875;23;60;02/11/2013 01:09
21.625;22;63;02/11/2013 01:10
21.625;24;60;02/11/2013 01:11
21.625;22;61;02/11/2013 01:12
21.625;22;59;02/11/2013 01:14
21.625;22;59;02/11/2013 01:15
21.625;23;60;02/11/2013 01:16
21.625;22;60;02/11/2013 01:17
21.625;23;59;02/11/2013 01:18
21.625;23;60;02/11/2013 01:19
21.625;22;59;02/11/2013 01:20
21.625;22;59;02/11/2013 01:21
21.625;23;58;02/11/2013 01:22
21.625;22;59;02/11/2013 01:23
21.625;22;59;02/11/2013 01:24
21.625;22;59;02/11/2013 01:25
21.625;23;58;02/11/2013 01:26
21.625;22;59;02/11/2013 01:27
21.625;22;59;02/11/2013 01:28
21.625;22;59;02/11/2013 01:29
21.5625;22;59;02/11/2013 01:30
21.625;22;59;02/11/2013 01:31
21.5625;23;58;02/11/2013 01:32
21.5625;22;59;02/11/2013 01:33
21.5625;22;59;02/11/2013 01:34
21.5625;22;59;02/11/2013 01:35
21.5625;22;59;02/11/2013 01:36
21.5625;22;59;02/11/2013 01:37
21.5625;22;59;02/11/2013 01:38
21.5625;22;59;02/11/2013 01:39
21.5625;22;59;02/11/2013 01:40
21.5625;22;59;02/11/2013 01:41
21.5625;22;60;02/11/2013 01:42
21.5625;22;59;02/11/2013 01:43
21.5625;22;59;02/11/2013 01:44
21.5625;22;59;02/11/2013 01:45
21.5;22;59;02/11/2013 01:46
21.5625;22;59;02/11/2013 01:47
21.5625;22;59;02/11/2013 01:48
21.5625;22;59;02/11/2013 01:49
21.5625;22;59;02/11/2013 01:50
21.5625;22;59;02/11/2013 01:51
21.5625;22;59;02/11/2013 01:52
21.5625;22;60;02/11/2013 01:53
21.5;22;59;02/11/2013 01:54
21.5625;22;60;02/11/2013 01:55
21.5625;22;59;02/11/2013 01:56
21.5625;22;59;02/11/2013 01:57
21.5;22;59;02/11/2013 01:58
21.5625;22;59;02/11/2013 01:59
21.5625;22;59;02/11/2013 02:00
21.5625;22;59;02/11/2013 02:01
21.5625;22;59;02/11/2013 02:02
21.5625;22;59;02/11/2013 02:03
21.5625;22;60;02/11/2013 02:04
21.5625;22;59;02/11/2013 02:05
21.5;22;59;02/11/2013 02:06
21.5;22;60;02/11/2013 02:07
21.5625;22;59;02/11/2013 02:08
21.5;22;59;02/11/2013 02:09
21.5;22;59;02/11/2013 02:10
21.5;22;59;02/11/2013 02:11
21.5;22;59;02/11/2013 02:12
21.5;22;59;02/11/2013 02:13
21.5;22;59;02/11/2013 02:14
21.5;22;59;02/11/2013 02:15
21.5;22;59;02/11/2013 02:16
21.5;22;59;02/11/2013 02:17
21.5;22;59;02/11/2013 02:18
21.5;22;59;02/11/2013 02:19
21.5;22;60;02/11/2013 02:20
21.5;22;59;02/11/2013 02:22
21.5;22;60;02/11/2013 02:23
21.5;22;60;02/11/2013 02:24
21.5;22;60;02/11/2013 02:25
21.5;22;60;02/11/2013 02:26
21.5;22;59;02/11/2013 02:27
21.5;22;59;02/11/2013 02:28
21.5;22;60;02/11/2013 02:29
21.5;22;59;02/11/2013 02:30
21.5;22;59;02/11/2013 02:31
21.5;22;60;02/11/2013 02:32
21.5;22;60;02/11/2013 02:33
21.5;22;59;02/11/2013 02:34
21.5;22;59;02/11/2013 02:35
21.5;22;59;02/11/2013 02:36
21.5;22;59;02/11/2013 02:37
21.5;22;59;02/11/2013 02:38
21.5;22;59;02/11/2013 02:39
21.5;22;59;02/11/2013 02:40
21.5;22;60;02/11/2013 02:41
21.5;22;60;02/11/2013 02:42
21.5;22;59;02/11/2013 02:43
21.5;22;59;02/11/2013 02:44
21.5;22;59;02/11/2013 02:45
21.5;22;59;02/11/2013 02:46
21.5;22;60;02/11/2013 02:47
21.5;22;59;02/11/2013 02:48
21.5;22;59;02/11/2013 02:49
21.5;22;60;02/11/2013 02:50
21.5;22;60;02/11/2013 02:51
21.5;22;59;02/11/2013 02:52
21.5;22;59;02/11/2013 02:53
21.5;22;59;02/11/2013 02:54
21.5;22;59;02/11/2013 02:55
21.5;22;60;02/11/2013 02:56
21.5;22;60;02/11/2013 02:57
21.5;22;60;02/11/2013 02:58
21.5;22;59;02/11/2013 02:59
21.5;22;60;02/11/2013 03:00
21.4375;22;59;02/11/2013 03:01
21.5;22;59;02/11/2013 03:02
21.5;22;59;02/11/2013 03:03
21.4375;22;60;02/11/2013 03:04
21.4375;22;60;02/11/2013 03:05
21.5;22;60;02/11/2013 03:06
21.5;22;59;02/11/2013 03:07
21.5;22;59;02/11/2013 03:08
21.4375;22;59;02/11/2013 03:09
21.5;23;58;02/11/2013 03:10
21.5;22;59;02/11/2013 03:11
21.4375;22;60;02/11/2013 03:12
21.4375;22;60;02/11/2013 03:13
21.5;22;60;02/11/2013 03:14
21.5;22;60;02/11/2013 03:15
21.5;22;59;02/11/2013 03:16
21.4375;22;60;02/11/2013 03:17
21.4375;22;60;02/11/2013 03:18
21.4375;22;59;02/11/2013 03:19
21.4375;22;60;02/11/2013 03:20
21.4375;22;60;02/11/2013 03:21
21.4375;22;59;02/11/2013 03:22
21.4375;22;59;02/11/2013 03:23
21.4375;22;59;02/11/2013 03:24
21.4375;22;59;02/11/2013 03:25
21.4375;22;60;02/11/2013 03:26
21.4375;22;60;02/11/2013 03:27
21.4375;22;60;02/11/2013 03:28
21.4375;22;60;02/11/2013 03:30
21.4375;22;60;02/11/2013 03:31
21.4375;22;60;02/11/2013 03:32
21.4375;22;60;02/11/2013 03:33
21.4375;22;59;02/11/2013 03:34
21.4375;22;59;02/11/2013 03:35
21.4375;22;60;02/11/2013 03:36
21.4375;22;60;02/11/2013 03:37
21.4375;22;59;02/11/2013 03:38
21.4375;22;60;02/11/2013 03:39
21.4375;22;59;02/11/2013 03:40
21.4375;22;59;02/11/2013 03:41
21.4375;22;59;02/11/2013 03:42
21.4375;22;60;02/11/2013 03:43
21.4375;22;60;02/11/2013 03:44
21.4375;22;60;02/11/2013 03:45
21.4375;22;60;02/11/2013 03:46
21.4375;22;59;02/11/2013 03:47
21.4375;22;59;02/11/2013 03:48
21.4375;22;59;02/11/2013 03:49
21.4375;23;59;02/11/2013 03:50
21.4375;22;60;02/11/2013 03:51
21.4375;22;60;02/11/2013 03:52
21.4375;22;60;02/11/2013 03:53
21.4375;22;60;02/11/2013 03:54
21.4375;22;59;02/11/2013 03:55
21.4375;22;59;02/11/2013 03:56
21.5;22;60;02/11/2013 03:57
21.4375;22;60;02/11/2013 03:58
21.4375;22;60;02/11/2013 03:59
21.4375;22;60;02/11/2013 04:00
21.4375;22;60;02/11/2013 04:01
21.4375;22;59;02/11/2013 04:02
21.4375;22;59;02/11/2013 04:03
21.4375;22;59;02/11/2013 04:04
21.4375;22;59;02/11/2013 04:05
21.4375;22;59;02/11/2013 04:06
21.4375;22;60;02/11/2013 04:07
21.4375;22;60;02/11/2013 04:08
21.4375;22;60;02/11/2013 04:09
21.4375;22;60;02/11/2013 04:10
21.4375;22;59;02/11/2013 04:11
21.4375;22;59;02/11/2013 04:12
21.4375;22;59;02/11/2013 04:13
21.4375;22;59;02/11/2013 04:14
21.4375;22;60;02/11/2013 04:15
21.4375;22;60;02/11/2013 04:16
21.4375;22;59;02/11/2013 04:17
21.5;22;59;02/11/2013 04:18
21.4375;22;59;02/11/2013 04:19
21.4375;22;59;02/11/2013 04:20
21.4375;22;59;02/11/2013 04:21
21.4375;22;60;02/11/2013 04:22
21.4375;22;59;02/11/2013 04:23
21.4375;22;60;02/11/2013 04:24
21.5;22;59;02/11/2013 04:25
21.4375;22;59;02/11/2013 04:26
21.4375;22;59;02/11/2013 04:27
21.4375;22;60;02/11/2013 04:28
21.4375;22;59;02/11/2013 04:29
21.4375;22;60;02/11/2013 04:30
21.4375;22;60;02/11/2013 04:31
21.4375;22;60;02/11/2013 04:32
21.4375;22;60;02/11/2013 04:33
21.4375;22;59;02/11/2013 04:34
21.4375;22;59;02/11/2013 04:35
21.4375;22;59;02/11/2013 04:36
21.4375;22;60;02/11/2013 04:38
21.4375;22;60;02/11/2013 04:39
21.4375;22;60;02/11/2013 04:40
21.4375;22;60;02/11/2013 04:41
21.4375;22;59;02/11/2013 04:42
21.4375;22;59;02/11/2013 04:43
21.4375;22;59;02/11/2013 04:44
21.4375;22;60;02/11/2013 04:45
21.4375;22;60;02/11/2013 04:46
21.4375;22;60;02/11/2013 04:47
21.4375;22;60;02/11/2013 04:48
21.4375;22;60;02/11/2013 04:49
21.4375;22;60;02/11/2013 04:50
21.4375;22;59;02/11/2013 04:51
21.4375;22;59;02/11/2013 04:52
21.4375;22;60;02/11/2013 04:53
21.4375;22;59;02/11/2013 04:54
21.4375;22;60;02/11/2013 04:55
21.4375;22;60;02/11/2013 04:56
21.4375;22;59;02/11/2013 04:57
21.4375;22;59;02/11/2013 04:58
21.4375;22;60;02/11/2013 04:59
21.4375;22;59;02/11/2013 05:00
21.4375;22;60;02/11/2013 05:01
21.4375;22;60;02/11/2013 05:02
21.4375;22;60;02/11/2013 05:03
21.4375;22;60;02/11/2013 05:04
21.4375;22;60;02/11/2013 05:05
21.4375;22;59;02/11/2013 05:06
21.4375;22;59;02/11/2013 05:07
21.4375;22;59;02/11/2013 05:08
21.4375;22;60;02/11/2013 05:09
21.4375;22;60;02/11/2013 05:10
21.4375;23;59;02/11/2013 05:11
21.4375;22;60;02/11/2013 05:12
21.4375;22;59;02/11/2013 05:13
21.4375;22;59;02/11/2013 05:14
21.4375;22;60;02/11/2013 05:15
21.4375;22;59;02/11/2013 05:16
21.4375;22;60;02/11/2013 05:17
21.4375;22;60;02/11/2013 05:18
21.4375;22;60;02/11/2013 05:19
21.4375;22;60;02/11/2013 05:20
21.4375;22;59;02/11/2013 05:21
21.4375;22;59;02/11/2013 05:22
21.4375;22;60;02/11/2013 05:23
21.4375;22;59;02/11/2013 05:24
21.4375;22;60;02/11/2013 05:25
21.4375;22;60;02/11/2013 05:26
21.4375;22;60;02/11/2013 05:27
21.4375;22;60;02/11/2013 05:28
21.4375;22;59;02/11/2013 05:29
21.4375;22;59;02/11/2013 05:30
21.4375;22;60;02/11/2013 05:31
21.5;22;60;02/11/2013 05:32
21.5;22;60;02/11/2013 05:33
21.4375;22;60;02/11/2013 05:34
21.4375;22;59;02/11/2013 05:35
21.5;22;59;02/11/2013 05:36
21.5;22;59;02/11/2013 05:37
21.5;22;59;02/11/2013 05:38
21.5;22;59;02/11/2013 05:39
21.5;22;60;02/11/2013 05:40
21.5;22;60;02/11/2013 05:41
